Region,Month,Slope,Intercept,Std Coef,Std Intercept,Slope in Original Units,Intercept in Original Units,Std Coef in Original Units,Std Intercept in Original Units,R-Value,P-Value
ID,Apr,0.07543788552583067,1.6186909325274756e-16,0.15572874520651256,0.15572874520651256,[0.83040295],[10.43410461],[1.71422633],[24.66145014],0.07543788552583068,0.6306667355639255
ID,May,-0.005455579382457987,2.3266786471363603e-16,0.15617143774442566,0.15617143774442566,[-0.04691683],[17.45072447],[1.34304133],[19.32145494],-0.005455579382457987,0.9723024738577468
ID,Jun,0.13232803045184954,2.8182467000596794e-16,0.15480036651156692,0.15480036651156692,[1.31252649],[21.04187951],[1.5354236],[22.08913251],0.1323280304518496,0.3976128332775375
ID,Jul,0.4709284080190316,2.1980409103446083e-15,0.13777203108499345,0.13777203108499345,[4.94929188],[21.90513532],[1.44793558],[20.83049962],0.4709284080190316,0.00143655436216993
ID,Aug,0.3695462138011223,2.8494461038956295e-15,0.14511858866872068,0.14511858866872068,[2.63261045],[22.96739613],[1.03381038],[14.87275204],0.3695462138011223,0.014732258641461429
ID,Sep,0.4336039628828014,1.445072435727454e-15,0.14072873086903057,0.14072873086903057,[4.10842671],[16.42881226],[1.33341419],[19.18295553],0.4336039628828015,0.0036758312293811847
ID,Oct,0.11470899308495736,-5.167631297812385e-16,0.1551428804011223,0.1551428804011223,[1.15028725],[12.48337173],[1.55575316],[22.38160044],0.11470899308495738,0.4638908433704765
ID,Nov,0.409726248448305,1.994332250217846e-15,0.14246303768230617,0.14246303768230617,[4.27250524],[-1.25307094],[1.48556281],[21.37181791],0.40972624844830513,0.006362024057722677
ID,Dec,0.18613026702691157,6.926450210616035e-16,0.1534446371676904,0.1534446371676904,[1.47169112],[-3.80220058],[1.21325303],[17.45427575],0.1861302670269116,0.23206772988741797
MI,Jan,0.2774040530133116,1.2410128327048651e-15,0.15004446425300208,0.15004446425300208,[2.86102179],[-7.2489371],[1.54749174],[22.26274894],0.2774040530133117,0.07170480323518257
MI,Feb,0.07180447715872701,3.843429776290626e-16,0.15577063478075404,0.15577063478075404,[0.85709053],[-2.94656146],[1.85934834],[26.74922523],0.07180447715872704,0.6472612578868164
MI,Mar,0.13240948583559678,7.291996162814771e-16,0.15479866767410141,0.15479866767410141,[1.50004458],[2.10570289],[1.75368782],[25.2291566],0.1324094858355968,0.3973198090105854
MI,Apr,0.003367776646250463,-7.743097861004011e-16,0.15617287623097406,0.15617287623097406,[0.0280476],[11.16142399],[1.30064265],[18.71149284],0.003367776646250463,0.982900028769998
MI,May,-0.03659561576948132,2.341505393342179e-16,0.15606914984808404,0.15606914984808404,[-0.29527083],[18.22193042],[1.25924013],[18.11586201],-0.036595615769481324,0.8157768285271431
MI,Jun,0.3752358757967937,1.7593869693014232e-15,0.14476204507911639,0.14476204507911639,[2.44066603],[17.02203608],[0.94158323],[13.54594042],0.3752358757967937,0.013159512285985353
MI,Jul,0.3369735065943517,2.4698485994100653e-15,0.14703980345914855,0.14703980345914855,[2.44668538],[20.47406667],[1.06762143],[15.35916942],0.3369735065943517,0.027130034895170407
MI,Aug,0.3937834103078798,5.681128422422276e-16,0.1435554304234291,0.1435554304234291,[2.45209024],[19.29345374],[0.89392001],[12.86024096],0.3937834103078799,0.008985076503047156
MI,Sep,0.6293878656859861,3.233720300894302e-15,0.12136127426369694,0.12136127426369694,[4.34922697],[12.08243499],[0.83863664],[12.06491544],0.6293878656859861,6.15265395980522e-06
MI,Oct,0.20334700773161862,-1.3181580426412894e-15,0.1529107817703654,0.1529107817703654,[1.6143321],[10.94328741],[1.21392878],[17.46399725],0.20334700773161868,0.19092196450956614
MI,Nov,0.30873307605770306,1.4469674394496681e-15,0.14854447373355642,0.14854447373355642,[3.30978974],[1.77506688],[1.59247911],[22.90995272],0.30873307605770306,0.04397296858711737
MI,Dec,0.2473114924287254,1.1841391543817566e-15,0.15132238447028448,0.15132238447028448,[2.85129936],[-3.99051621],[1.7446234],[25.09875284],0.24731149242872547,0.10984482783573406
PR,Jan,0.5873626627044243,2.7582616935186988e-15,0.12639515103974597,0.12639515103974597,[2.11661724],[18.50764398],[0.45547695],[6.55264825],0.5873626627044245,3.463575052203893e-05
PR,Feb,0.5698442537594574,3.0242159882599803e-15,0.1283362130192796,0.1283362130192796,[1.91614381],[19.18694005],[0.43154009],[6.20828429],0.5698442537594576,6.645497830068735e-05
PR,Mar,0.5514283378065012,9.886634529414783e-15,0.13028362945511995,0.13028362945511995,[1.70957637],[20.26353842],[0.40391434],[5.81085076],0.5514283378065012,0.00012683310027555234
PR,Apr,0.34739941999084534,4.975316667759056e-15,0.1464468306904211,0.1464468306904211,[0.84697314],[23.97954714],[0.357043],[5.13654354],0.34739941999084545,0.022458141585193186
PR,May,0.5743735610598185,5.2587518129245284e-15,0.12784279717355074,0.12784279717355074,[1.82561781],[20.77505443],[0.40634198],[5.84577554],0.5743735610598185,5.635102597423265e-05
PR,Jun,0.5611172059475701,-3.2822727038192834e-15,0.12927070114823352,0.12927070114823352,[2.21948478],[21.11910766],[0.51132696],[7.35612564],0.5611172059475702,9.070166993157046e-05
PR,Jul,0.6271721594479509,-1.6099887497604854e-15,0.1216407227235884,0.1216407227235884,[2.08158419],[20.43530664],[0.40372552],[5.80813429],0.627172159447951,6.782531752201096e-06
PR,Aug,0.5826430626330062,-1.3484065815053777e-15,0.12692681409279558,0.12692681409279558,[1.50563672],[21.39584845],[0.32799785],[4.71868997],0.5826430626330062,4.143546687056788e-05
PR,Sep,0.5650329203928716,6.81211293451218e-16,0.12885402961531683,0.12885402961531683,[1.81440284],[21.36338481],[0.41376902],[5.95262353],0.5650329203928716,7.897184875272845e-05
PR,Oct,0.3613158141029972,-2.84990569862931e-15,0.14562320929321604,0.14562320929321604,[1.35925093],[23.70220936],[0.54782679],[7.88122479],0.3613158141029973,0.017287678246718306
PR,Nov,0.3522675404663969,1.0090271727525848e-14,0.14616292112084853,0.14616292112084853,[1.30314655],[22.94205332],[0.54070184],[7.77872279],0.35226754046639697,0.020519184266777707
PR,Dec,0.40460608357039135,6.375123228878457e-15,0.14281951061783466,0.14281951061783466,[1.54589051],[21.3876988],[0.54567476],[7.85026491],0.40460608357039146,0.007120666395404286
RI,Jan,0.26017740089532204,1.2217396356154344e-15,0.15079526744719832,0.15079526744719832,[2.33983558],[-0.62684055],[1.35613674],[19.50985],0.26017740089532204,0.0919922391698041
RI,Feb,0.22264173485150685,1.3798441034500668e-15,0.1522538523604344,0.1522538523604344,[1.89895247],[0.39587549],[1.29860122],[18.68212422],0.22264173485150685,0.15128089472462491
RI,Mar,0.2033740696320304,4.557434899058984e-16,0.15290990395282159,0.15290990395282159,[1.39559348],[3.72443587],[1.0492983],[15.09556652],0.2033740696320304,0.1908616578550802
RI,Apr,0.14930017897854692,2.0792650368689108e-16,0.15442335351605888,0.15442335351605888,[0.72656836],[9.5420003],[0.75150026],[10.81134142],0.14930017897854694,0.33930080328601764
RI,May,0.012935017138030476,1.720686257700453e-15,0.15616069626147686,0.15616069626147686,[0.06574978],[16.89047668],[0.79377793],[11.41956256],0.01293501713803048,0.9343886474879166
RI,Jun,0.22154998026189437,3.1020368812000854e-15,0.15229269045812566,0.15229269045812566,[0.99298418],[18.86228045],[0.68257389],[9.81974299],0.22154998026189449,0.15334827991439143
RI,Jul,0.3111604740451972,5.870814890998926e-15,0.14842088796786643,0.14842088796786643,[1.9463752],[21.43919631],[0.92840435],[13.3563445],0.3111604740451972,0.042253099978545684
RI,Aug,0.6425486564764127,5.675816833415091e-15,0.1196673462460402,0.1196673462460402,[3.38244078],[16.60600001],[0.62994095],[9.06254738],0.6425486564764129,3.393813667446171e-06
RI,Sep,0.6067512482267448,5.281132796674207e-15,0.12414123769706109,0.12414123769706109,[2.99698318],[13.82369108],[0.61318242],[8.82145343],0.6067512482267448,1.6091050818142618e-05
RI,Oct,0.3657963400246678,4.721863644593857e-15,0.14535012712157325,0.14535012712157325,[2.03087503],[11.73643766],[0.80697348],[11.60939821],0.3657963400246678,0.015853724491241984
RI,Nov,0.2593665221119329,8.158128902833142e-16,0.15082933395288928,0.15082933395288928,[1.6670501],[7.69511092],[0.96943913],[13.94668506],0.25936652211193295,0.0930465327010749
RI,Dec,0.17803426445804876,1.0575470401154065e-15,0.15367877495027285,0.15367877495027285,[1.77734915],[3.69617383],[1.53420377],[22.0715836],0.1780342644580488,0.2533704702990609
OR,Jan,0.23705252085532397,1.18649061580784e-15,0.15172231554084745,0.15172231554084745,[2.05826068],[0.86518202],[1.31736239],[18.9520289],0.23705252085532402,0.12587797453415248
OR,Feb,0.1457203697609358,8.366571260264265e-16,0.1545067347049593,0.1545067347049593,[1.44151569],[4.32395318],[1.52843342],[21.98856931],0.14572036976093583,0.35113760076497125
OR,Mar,0.10422829896881877,-4.4249674385895785e-17,0.1553231455820858,0.1553231455820858,[0.95087287],[8.58046476],[1.41701023],[20.38559694],0.1042282989688188,0.5059570887695863
OR,Apr,0.10338663089143582,-4.71621255807648e-16,0.15533686482757855,0.15533686482757855,[0.98134056],[12.25202557],[1.47444949],[21.21193795],0.10338663089143582,0.5094170427541418
OR,May,0.1061706862605202,-1.8491336755323546e-16,0.1552910552430869,0.1552910552430869,[0.93808328],[16.72353284],[1.37209193],[19.73938689],0.1061706862605202,0.4980179592476405
OR,Jun,0.24191446866297298,1.4822742961147172e-15,0.15153502290596066,0.15153502290596066,[2.14542684],[19.11974552],[1.3438936],[19.33371589],0.24191446866297303,0.11807375121363979
OR,Jul,0.5185403763784799,2.234892276404898e-15,0.13353686602192538,0.13353686602192538,[4.7920811],[20.34633464],[1.23407843],[17.75387704],0.5185403763784802,0.0003678186300147825
OR,Aug,0.5542281673422433,5.649902869130298e-15,0.1299935400387883,0.1299935400387883,[3.46485681],[19.88471027],[0.81267794],[11.69146454],0.5542281673422433,0.00011524281305285617
OR,Sep,0.37010899840460054,2.118815472193273e-15,0.14508360325738034,0.14508360325738034,[3.3678731],[18.49549979],[1.32021423],[18.99305631],0.3701089984046006,0.014569901758892806
OR,Oct,0.12004276731134209,-7.603285072134538e-16,0.15504442589269687,0.15504442589269687,[1.12391038],[15.00456656],[1.45161631],[20.88345198],0.12004276731134211,0.4432264318394389
OR,Nov,0.409338285863124,2.756763742307472e-15,0.14249023652702592,0.14249023652702592,[3.68880909],[2.46698941],[1.28407065],[18.4730824],0.409338285863124,0.006416948167749863
OR,Dec,0.1067732995827103,2.8265043753556795e-16,0.15528097762476553,0.15528097762476553,[0.77874109],[2.15334335],[1.13252731],[16.29292776],0.10677329958271033,0.4955679354542025
GA,Jan,0.3234161082343993,4.828953467604781e-16,0.14778049154516176,0.14778049154516176,[3.16707371],[8.68452658],[1.44715027],[20.81920198],0.3234161082343994,0.03438636401212553
GA,Feb,0.23073320281551213,6.353795099919212e-16,0.15195973384488146,0.15195973384488146,[2.16179407],[12.38226515],[1.42374676],[20.48251106],0.23073320281551213,0.13659178802912597
GA,Mar,0.2897122049172046,9.371276760020846e-16,0.14947606369452612,0.14947606369452612,[2.44616921],[15.46308176],[1.262093],[18.15690431],0.2897122049172047,0.059507370071442835
GA,Apr,0.3126329371535527,6.065143767642682e-17,0.14834539842647898,0.14834539842647898,[2.449651],[19.37467599],[1.16236778],[16.72222301],0.3126329371535528,0.04123679855618398
GA,May,0.1964319267126596,-3.552882403774186e-15,0.15313110102672603,0.15313110102672603,[1.45581096],[25.84129922],[1.13489664],[16.3270138],0.19643192671265966,0.20677744182286817
GA,Jun,0.06917611932268368,6.644481559602439e-16,0.15579964185714915,0.15579964185714915,[0.5447146],[31.11477895],[1.22681556],[17.64939095],0.0691761193226837,0.6593722448362506
GA,Jul,0.15959481233630882,-2.5982167323232337e-15,0.15417202111446954,0.15417202111446954,[1.22778655],[31.21839487],[1.18606822],[17.06318566],0.15959481233630884,0.30665513299487396
GA,Aug,0.26239517296655024,1.785290399791408e-15,0.15070151189652636,0.15070151189652636,[1.87350152],[29.20529768],[1.07600878],[15.47983278],0.26239517296655024,0.08915589333110756
GA,Sep,0.28635506153535756,1.8815794272025042e-16,0.14963376255353875,0.14963376255353875,[2.11830409],[26.24978643],[1.10691185],[15.92441492],0.28635506153535756,0.06265667458105603
GA,Oct,0.4105239993133858,5.794769023168595e-15,0.14240701253524435,0.14240701253524435,[2.71200522],[19.68990817],[0.94076975],[13.53423751],0.4105239993133859,0.006250364188536913
GA,Nov,0.22108135881532706,3.4638943449318235e-15,0.15230929962033915,0.15230929962033915,[1.87613009],[16.68370524],[1.29251992],[18.59463647],0.22108135881532712,0.15424199488425983
GA,Dec,0.28280299229410194,2.1263714872518145e-15,0.1497984391749665,0.1497984391749665,[3.34978705],[11.05174005],[1.77435489],[25.52648024],0.282802992294102,0.06613184483924396
IL,Jan,0.3236335848925747,1.5734805082273142e-15,0.1477688787600074,0.1477688787600074,[3.84690535],[-3.27862679],[1.75647064],[25.26919126],0.3236335848925747,0.03425848953028831
IL,Feb,0.11702343675965014,5.933147188242455e-16,0.15510071592111663,0.15510071592111663,[1.64082316],[2.53896299],[2.1747169],[31.28622601],0.11702343675965017,0.4548612940915905
IL,Mar,0.16361564673418946,1.7207722375754557e-15,0.1540691894100095,0.1540691894100095,[1.80044411],[8.82901985],[1.69539387],[24.39051981],0.1636156467341895,0.2944683511766331
IL,Apr,0.2322948575893785,5.445728672963715e-16,0.15190169310843132,0.15190169310843132,[1.98619997],[14.39356509],[1.2988111],[18.68514351],0.23229485758937857,0.1338832207561355
IL,May,0.09910748210601267,-5.949175065340832e-16,0.15540487695133218,0.15540487695133218,[0.74057325],[21.63236276],[1.16125133],[16.70616138],0.09910748210601267,0.52719052943522
IL,Jun,0.3871244019966283,8.016053361606452e-16,0.14399650210680107,0.14399650210680107,[2.45734917],[22.17942147],[0.91404645],[13.14978688],0.3871244019966284,0.010329338264055054
IL,Jul,0.09761714279404675,1.4132939334150875e-15,0.15542788253428302,0.15542788253428302,[0.98139064],[28.66204513],[1.56258896],[22.4799427],0.09761714279404679,0.5334513752295702
IL,Aug,0.06721627621917622,-1.1588381610658233e-15,0.15582056379923945,0.15582056379923945,[0.58737628],[28.90170112],[1.36165387],[19.58922131],0.06721627621917624,0.6684593496031761
IL,Sep,0.440025517880151,-1.3559534931595765e-15,0.14024173760404762,0.14024173760404762,[3.43879356],[19.97983621],[1.09598731],[15.76725076],0.4400255178801511,0.003150277515003573
IL,Oct,0.1424807275615576,-1.0929885463322333e-15,0.15458041101668113,0.15458041101668113,[1.04979203],[17.14195257],[1.13894199],[16.38521153],0.14248072756155764,0.3620639455141955
IL,Nov,0.2862311009495035,1.2280893483559927e-15,0.14963954714410738,0.14963954714410738,[3.3504048],[6.92590182],[1.75156737],[25.19865117],0.28623110094950355,0.06277545221029857
IL,Dec,0.32821757364911597,1.5352196089383185e-15,0.14752207146546126,0.14752207146546126,[4.65227539],[-0.97724001],[2.09103155],[30.08229976],0.32821757364911597,0.031652873301477036
MT,Jan,0.3276027052815909,1.5739763548595365e-15,0.14755540236840545,0.14755540236840545,[3.29355873],[-5.82023684],[1.48345046],[21.34142897],0.3276027052815909,0.03199256888057145
MT,Feb,-0.03726704431594343,-1.9920211294568418e-16,0.1560652746025821,0.1560652746025821,[-0.51570513],[1.27587377],[2.15964705],[31.06942591],-0.03726704431594343,0.8124569284198127
MT,Mar,0.038976583202786345,3.7728365332006393e-16,0.15605508923812114,0.15605508923812114,[0.43588594],[5.95753462],[1.74520734],[25.1071536],0.03897658320278635,0.8040188258277743
MT,Apr,-0.04246351189354386,-6.943899810477669e-16,0.1560328960123213,0.1560328960123213,[-0.44068567],[12.81406945],[1.61930699],[23.29590776],-0.042463511893543866,0.7868766774775604
MT,May,-0.1429090327790684,-2.2151561396435045e-15,0.1545707674655261,0.1545707674655261,[-1.31992493],[20.25787299],[1.42763411],[20.53843575],-0.1429090327790684,0.36060775372608633
MT,Jun,0.04092800844197506,-4.694912384008088e-16,0.15604290358470546,0.15604290358470546,[0.38899304],[22.96123367],[1.48308225],[21.33613173],0.04092800844197507,0.7944136567752329
MT,Jul,0.4056523797734491,-1.0058591647070047e-16,0.14274710255349488,0.14274710255349488,[4.27704607],[22.81965709],[1.50507174],[21.65248019],0.4056523797734491,0.006959582156330418
MT,Aug,0.19875540342209846,5.1435465473400134e-15,0.15305795886195617,0.15305795886195617,[1.67904016],[25.30266499],[1.29299861],[18.60152307],0.19875540342209846,0.20135057342038995
MT,Sep,0.4139560638156929,1.2808575586057579e-15,0.14216448539650853,0.14216448539650853,[4.35146876],[16.01209537],[1.49442023],[21.49924389],0.413956063815693,0.005789129917994157
MT,Oct,-0.014914388767851594,-1.0147564247474651e-15,0.1561563913554708,0.1561563913554708,[-0.13826809],[13.4804892],[1.44769235],[20.82700051],-0.014914388767851597,0.9243755951830877
MT,Nov,0.3808507710817196,1.9315339952799507e-15,0.14440396337430053,0.14440396337430053,[4.81532435],[-1.07209477],[1.82578578],[26.26638267],0.3808507710817196,0.011749871145770413
MT,Dec,0.21029979978845542,9.838725111538543e-16,0.15268123930059085,0.15268123930059085,[2.34994696],[-4.40589543],[1.70610155],[24.5445642],0.21029979978845542,0.1758686500362168
LA,Jan,0.2645625993132354,1.115096206471796e-15,0.15060905869855243,0.15060905869855243,[2.43898281],[10.84248076],[1.38845364],[19.97477209],0.2645625993132354,0.08644992978156049
LA,Feb,0.19036197341911965,-1.705718361505207e-16,0.15331796380803972,0.15331796380803972,[1.7793348],[14.10081783],[1.43308027],[20.61678605],0.19036197341911965,0.22143476156043373
LA,Mar,0.21539004131578476,2.666775195094218e-16,0.15250806696792238,0.15250806696792238,[1.60280316],[17.79443282],[1.13487332],[16.32667831],0.21539004131578482,0.1654018070323372
LA,Apr,0.18570197319052634,-1.057314506177002e-15,0.15345729342776204,0.15345729342776204,[1.20223534],[22.16978957],[0.99348315],[14.29259065],0.18570197319052636,0.23316301446107257
LA,May,0.12875374182670346,-2.557897614158677e-15,0.1548738648034636,0.1548738648034636,[0.82319692],[27.23702469],[0.99019793],[14.24532826],0.1287537418267035,0.4105939327014986
LA,Jun,0.13843303815629576,7.044511360269556e-16,0.154670089020881,0.154670089020881,[1.01690227],[30.61103409],[1.1361765],[16.34542623],0.1384330381562958,0.3760001903162462
LA,Jul,0.11433454792532705,1.7225864167656404e-15,0.15514962181719086,0.15514962181719086,[0.71114358],[32.22034055],[0.96500716],[13.88292525],0.11433454792532705,0.4653606762132313
LA,Aug,0.023326328185825678,-6.344606838025655e-16,0.15613126766214844,0.15613126766214844,[0.16365276],[33.774461],[1.09538512],[15.75858736],0.02332632818582568,0.8819689090713141
LA,Sep,0.23253096829259043,1.721577956539413e-15,0.1518928817665241,0.1518928817665241,[1.51978235],[28.30948819],[0.99274571],[14.28198152],0.23253096829259048,0.13347721154185618
LA,Oct,0.4216274988054576,-2.842715655027831e-15,0.1416135459494153,0.1416135459494153,[2.28354064],[20.62541796],[0.76698101],[11.03405289],0.4216274988054577,0.0048636344593041055
LA,Nov,0.28556292890509644,4.474844969403918e-16,0.14967068025397096,0.14967068025397096,[2.38787756],[16.57817475],[1.25154641],[18.0051775],0.28556292890509644,0.06341877719469995
LA,Dec,0.31189340321246745,1.6399048698343848e-15,0.14838336185019033,0.14838336185019033,[3.01786402],[11.64340135],[1.43574954],[20.65518708],0.31189340321246745,0.041744708069427205
MA,Jan,0.27264188536448963,1.2781173955904547e-15,0.1502572105607091,0.1502572105607091,[2.87195236],[-3.92639765],[1.5827779],[22.7703877],0.27264188536448974,0.07692212817521447
MA,Feb,0.21734980939399554,9.239065704272673e-16,0.1524402370188103,0.1524402370188103,[2.38127079],[-1.8702066],[1.67012562],[24.02700203],0.2173498093939956,0.16149485469130934
MA,Mar,0.23491030802754093,1.2435981912103975e-15,0.1518035594542681,0.1518035594542681,[2.24204852],[2.33268651],[1.44885488],[20.84372499],0.23491030802754093,0.12943682815573812
MA,Apr,0.2015293470271268,1.1687580536793688e-15,0.1529694631001297,0.1529694631001297,[1.26728408],[9.43983331],[0.96192325],[13.83855905],0.2015293470271268,0.1950035327825824
MA,May,0.06655333055268578,7.502903594575878e-16,0.1558275042406252,0.1558275042406252,[0.4603593],[17.60076255],[1.07788205],[15.50678222],0.0665533305526858,0.671543895418607
MA,Jun,0.3891004002625594,3.2197756741819233e-15,0.14386654372305413,0.14386654372305413,[2.24007632],[17.84706065],[0.82824905],[11.91547596],0.38910040026255954,0.009913555687284992
MA,Jul,0.37967790982510513,-1.3942945697154547e-15,0.1444792739622352,0.1444792739622352,[3.01625195],[21.66871893],[1.14777784],[16.51232713],0.37967790982510513,0.01203315865427865
MA,Aug,0.5812811550825513,8.575263117190078e-15,0.12707902465000834,0.12707902465000834,[4.22092761],[18.51493792],[0.92277439],[13.27535003],0.5812811550825514,4.361265476711836e-05
MA,Sep,0.5917944304739032,2.2426027650372438e-15,0.1258899395484558,0.1258899395484558,[3.91275809],[14.4154271],[0.83234457],[11.97439548],0.5917944304739035,2.9195191791226652e-05
MA,Oct,0.31386272154910844,1.8401798210466246e-15,0.1482820476627834,0.1482820476627834,[2.11054834],[11.45862326],[0.99711246],[14.34480303],0.3138627215491085,0.04040335161672447
MA,Nov,0.21215182659676143,-7.321814736073062e-16,0.152618734462925,0.152618734462925,[1.73554048],[6.14571314],[1.24852091],[17.96165165],0.2121518265967615,0.17200675494874643
MA,Dec,0.2128811229292583,1.2334851350863755e-15,0.15259396365489578,0.15259396365489578,[2.32685514],[0.00260934],[1.66789823],[23.99495808],0.2128811229292583,0.17050289852122416
NE,Jan,0.22496855798302196,1.2177417396551873e-15,0.15217040735988757,0.15217040735988757,[2.36152416],[-0.31429939],[1.59735252],[22.98006321],0.22496855798302204,0.1469430852034324
NE,Feb,-0.08373037060410878,-5.356682320829198e-16,0.15562534944919124,0.15562534944919124,[-1.09886583],[6.42418032],[2.04240561],[29.38275018],-0.08373037060410879,0.5934684433350605
NE,Mar,0.1271649283427526,2.5056920403429915e-16,0.15490587866150285,0.15490587866150285,[1.47631768],[9.90002147],[1.79837547],[25.87204858],0.12716492834275261,0.4164410909924554
NE,Apr,0.07129959563629402,9.099823408828076e-16,0.15577629110300237,0.15577629110300237,[0.73963879],[16.70027312],[1.61597253],[23.24793711],0.07129959563629404,0.6495808130649818
NE,May,-0.14179624620814696,7.850702048937216e-16,0.1545957611952649,0.1545957611952649,[-1.24345312],[25.32562922],[1.35569584],[19.50350709],-0.14179624620814696,0.36439846063418535
NE,Jun,0.3299196529181305,4.311317223349786e-15,0.14742943931270325,0.14742943931270325,[3.38309834],[24.44201035],[1.51178715],[21.74909033],0.3299196529181306,0.03072802741113696
