region,month,avg_qv2m
NE,Sep,0.0078714659200813
NE,Oct,0.00510768825600217
NE,Nov,0.0033728101041767982
NE,Dec,0.002481737409978816
DE,Jan,0.003486850980487843
DE,Feb,0.0037285323503327954
DE,Mar,0.004807198652867679
DE,Apr,0.006735608460912957
DE,May,0.009495090577561812
DE,Jun,0.01243846628064079
DE,Jul,0.014078482679784555
DE,Aug,0.013555921109803323
DE,Sep,0.011222016931535678
DE,Oct,0.00799944291421489
DE,Nov,0.0056718610637299365
DE,Dec,0.004211392565151232
NY,Jan,0.0023659520762424283
NY,Feb,0.0025089822473251307
NY,Mar,0.0033592762516685033
NY,Apr,0.0049582385153193855
NY,May,0.007537068688140143
NY,Jun,0.010182294532595004
NY,Jul,0.011737565097687124
NY,Aug,0.011105410991983443
NY,Sep,0.008834787115455532
NY,Oct,0.006096381776535134
NY,Nov,0.004255740184850867
NY,Dec,0.0029576918415087456
IN,Jan,0.0028831977829612996
IN,Feb,0.003243326634624712
IN,Mar,0.004609068643669046
IN,Apr,0.006614768845555466
IN,May,0.009602541885319381
IN,Jun,0.012656676234176755
IN,Jul,0.014016020460088515
IN,Aug,0.012732454699388964
IN,Sep,0.009853416410674855
IN,Oct,0.0067102865677809796
IN,Nov,0.004691168886401596
IN,Dec,0.00341760412662897
UT,Jan,0.0026077269728657583
UT,Feb,0.0027742498294919603
UT,Mar,0.0031989844901304503
UT,Apr,0.0036284043791640175
UT,May,0.004555079775157647
UT,Jun,0.0051389318711759086
UT,Jul,0.006932615567959657
UT,Aug,0.006982982874624176
UT,Sep,0.005376907148051668
UT,Oct,0.003941307223747549
UT,Nov,0.0030338672378129755
UT,Dec,0.002570977385082562
SC,Jan,0.005166327786491343
SC,Feb,0.005821557729995007
SC,Mar,0.007244554792147688
SC,Apr,0.008980019801311242
SC,May,0.01143845208441141
SC,Jun,0.01425477171002761
SC,Jul,0.015722085486176696
SC,Aug,0.01548107903835114
SC,Sep,0.013076974179647314
SC,Oct,0.009534795791381931
SC,Nov,0.007050804147854221
SC,Dec,0.005759955828506274
NM,Jan,0.002839835847148644
NM,Feb,0.00298908215503365
NM,Mar,0.0032786133996378784
NM,Apr,0.003609912321036643
NM,May,0.004729332388139838
NM,Jun,0.006489184942887593
NM,Jul,0.009538789138621625
NM,Aug,0.01001616918989744
NM,Sep,0.007946543640624642
NM,Oct,0.005200455271542391
NM,Nov,0.0035546065474324567
NM,Dec,0.0029362280465508486
CO,Jan,0.0023568787936130973
CO,Feb,0.002505718751880159
CO,Mar,0.0030127291418045425
CO,Apr,0.003621607121640532
CO,May,0.005006756113676272
CO,Jun,0.0063639108349768546
CO,Jul,0.008361941301058091
CO,Aug,0.00833182348363177
CO,Sep,0.00610424974816594
CO,Oct,0.00408439709619197
CO,Nov,0.0029444207924762154
CO,Dec,0.0023810833355964018
ND,Jan,0.0016964200722351882
ND,Feb,0.0018921421219712466
ND,Mar,0.0026879258016509087
ND,Apr,0.003667701360025025
ND,May,0.005818221397641848
ND,Jun,0.008381110022896007
ND,Jul,0.009733681052769318
ND,Aug,0.009010810230079365
ND,Sep,0.006531571811722267
ND,Oct,0.004342064596769479
ND,Nov,0.0028072987333823836
ND,Dec,0.0018850437890460905
MN,Jan,0.0014685858471925003
MN,Feb,0.0017724360821316323
MN,Mar,0.0028118899324462636
MN,Apr,0.004169699897207587
MN,May,0.006723963821766936
MN,Jun,0.009671197454630392
MN,Jul,0.011147280182985516
MN,Aug,0.010257481624117711
MN,Sep,0.007700428865605591
MN,Oct,0.004887446895926009
MN,Nov,0.0029720124810019787
MN,Dec,0.0018174183151156889
KY,Jan,0.0036317919492010156
KY,Feb,0.00410168934082371
KY,Mar,0.005590742340963013
KY,Apr,0.007661673007017794
KY,May,0.010657788474573006
KY,Jun,0.013446496273085246
KY,Jul,0.01459402810857673
KY,Aug,0.013168739712649674
KY,Sep,0.010375705936201999
KY,Oct,0.007302371921378557
KY,Nov,0.005276383348307562
KY,Dec,0.004188641028464048
TX,Jan,0.004827299279757079
TX,Feb,0.005444281374846781
TX,Mar,0.006677048916353444
TX,Apr,0.008071126064732896
TX,May,0.010991383564824828
TX,Jun,0.01348474034783806
TX,Jul,0.01385649046748487
TX,Aug,0.013840622848301818
TX,Sep,0.012391986015965377
TX,Oct,0.00935783125208158
TX,Nov,0.006805825241086141
TX,Dec,0.0052946111522505284
AL,Jan,0.005526209073364014
AL,Feb,0.006309283437912744
AL,Mar,0.007851281542823408
AL,Apr,0.009614825603729251
AL,May,0.012272829252045843
AL,Jun,0.014910248523744807
AL,Jul,0.016176802080639083
AL,Aug,0.015634466551982196
AL,Sep,0.013151167322606643
AL,Oct,0.009516985820232728
AL,Nov,0.007246020898579382
AL,Dec,0.006191240007323294
NH,Jan,0.0020177527776422143
NH,Feb,0.0022058329349203478
NH,Mar,0.0030177042808344576
NH,Apr,0.004551245486320066
NH,May,0.0070078300146228815
NH,Jun,0.009786240926829818
NH,Jul,0.01172682549503486
NH,Aug,0.011085369745077166
NH,Sep,0.008556337687309679
NH,Oct,0.0057431283275263326
NH,Nov,0.003907389159666602
NH,Dec,0.0025932905119369167
OH,Jan,0.002920039709620919
OH,Feb,0.0031913487667827247
OH,Mar,0.004376004200009528
OH,Apr,0.006284133371151668
OH,May,0.00909883507211022
OH,Jun,0.011808307872037493
OH,Jul,0.012990341251558147
OH,Aug,0.01191720727724635
OH,Sep,0.009454831681247567
OH,Oct,0.006542272087403756
OH,Nov,0.00463913325891535
OH,Dec,0.0034515118960697917
MS,Jan,0.005631109019399398
MS,Feb,0.006448331023175427
MS,Mar,0.008111847745722042
MS,Apr,0.010005758371818671
MS,May,0.012795578604745367
MS,Jun,0.015255827927540547
MS,Jul,0.01640735742363816
MS,Aug,0.015808961869167595
MS,Sep,0.01328826728468334
MS,Oct,0.009706645357014121
MS,Nov,0.007450639077931832
MS,Dec,0.00632044221634797
WV,Jan,0.00326232457098729
WV,Feb,0.0035974536668786808
WV,Mar,0.004751781304829293
WV,Apr,0.006637513323306753
WV,May,0.009325943051794067
WV,Jun,0.011835310834731775
WV,Jul,0.012846633472459202
WV,Aug,0.011791936058986175
WV,Sep,0.009458098380059886
WV,Oct,0.006683319675310079
WV,Nov,0.00484706385941875
WV,Dec,0.0037990828332968717
MO,Jan,0.003089359709709702
MO,Feb,0.0035871331818101487
MO,Mar,0.00517611154633627
MO,Apr,0.007233753717195639
MO,May,0.010455195835428848
MO,Jun,0.013718658118722039
MO,Jul,0.014686944933553948
MO,Aug,0.013439376726601216
MO,Sep,0.01044974059880754
MO,Oct,0.007170708945964645
MO,Nov,0.0050012698740679986
MO,Dec,0.0036030672398676316
PA,Jan,0.0027244481297794814
PA,Feb,0.0029311459070527233
PA,Mar,0.003921638568537939
PA,Apr,0.005703212715579408
PA,May,0.008396133743149552
PA,Jun,0.011031484523154134
PA,Jul,0.012152548080894787
PA,Aug,0.011281926856044138
PA,Sep,0.009147207179359193
PA,Oct,0.006402557755889471
PA,Nov,0.004531766622875995
PA,Dec,0.0032826816722614045
KS,Jan,0.0027279647386741937
KS,Feb,0.00305136490204379
KS,Mar,0.004259152089575882
KS,Apr,0.0057597979869464955
KS,May,0.00884745612337952
KS,Jun,0.012119537665982717
KS,Jul,0.013163248225871319
KS,Aug,0.012538634485069939
KS,Sep,0.009483614563997697
KS,Oct,0.006272417150072759
KS,Nov,0.004171501176757875
KS,Dec,0.0029815476581552297
MD,Jan,0.0033308367169667926
MD,Feb,0.0035849545534962957
MD,Mar,0.004684492205025853
MD,Apr,0.006627615236966898
MD,May,0.009410093719306636
MD,Jun,0.012200424873925798
MD,Jul,0.013596608368291655
MD,Aug,0.012973460644259045
MD,Sep,0.010705296056904328
MD,Oct,0.0076109753352544265
MD,Nov,0.005384363245123269
MD,Dec,0.0039891728665858795
AZ,Jan,0.0033157784328395447
AZ,Feb,0.003460579691078011
AZ,Mar,0.0036730500345226996
AZ,Apr,0.0037573414396520058
AZ,May,0.00424255255383854
AZ,Jun,0.004722392394522468
AZ,Jul,0.008872884206300679
AZ,Aug,0.009910925807126991
AZ,Sep,0.007679293902852698
AZ,Oct,0.004986625153345719
AZ,Nov,0.003630052259270163
AZ,Dec,0.0032721042306665653
HI,Jan,0.012330293890744618
HI,Feb,0.012099533775265294
HI,Mar,0.012286243455562871
HI,Apr,0.012611934493256635
HI,May,0.013241357544718174
HI,Jun,0.013838694038101085
HI,Jul,0.014414185417287522
HI,Aug,0.01473136278987767
HI,Sep,0.014824552925108668
HI,Oct,0.014594312985329443
HI,Nov,0.013893916767652757
HI,Dec,0.012969316428812527
OK,Jan,0.0035215200731078546
OK,Feb,0.004105232315922934
OK,Mar,0.00561117103825292
OK,Apr,0.007338570420208223
OK,May,0.01066520621360004
OK,Jun,0.013716854233638904
OK,Jul,0.013920543498498432
OK,Aug,0.013396169843865066
OK,Sep,0.010975308581168138
OK,Oct,0.007724679377796358
OK,Nov,0.005375356337089913
OK,Dec,0.0039028919282133555
VT,Jan,0.0019474621511826066
VT,Feb,0.0021290552632611554
VT,Mar,0.002982673778376082
VT,Apr,0.004569781528913196
VT,May,0.007169990620623746
VT,Jun,0.009900614059076348
VT,Jul,0.011736629140032588
VT,Aug,0.01108727264771434
VT,Sep,0.008550261571700104
VT,Oct,0.005707325825814675
VT,Nov,0.00385164564367308
VT,Dec,0.0025218979399107004
VA,Jan,0.003532204853705684
VA,Feb,0.003921150446750062
VA,Mar,0.005129415830046616
VA,Apr,0.007065397006561727
VA,May,0.00974295438793001
VA,Jun,0.012268625495715087
VA,Jul,0.01346072634635907
VA,Aug,0.012778238019938678
VA,Sep,0.010518613915320165
VA,Oct,0.007435200875712697
VA,Nov,0.0053268746702643905
VA,Dec,0.004112130474261663
WA,Jan,0.0034539737694490452
WA,Feb,0.003566753275266531
WA,Mar,0.0040850891223125204
WA,Apr,0.004663641326120102
WA,May,0.005930794836520012
WA,Jun,0.007104407109566429
WA,Jul,0.008071746379450212
WA,Aug,0.007830657660731216
WA,Sep,0.006480650510963533
WA,Oct,0.005242537366934498
WA,Nov,0.004227940405552661
WA,Dec,0.003332264156250686
TN,Jan,0.004135602676964552
TN,Feb,0.004738374572262081
TN,Mar,0.0062551336319220845
TN,Apr,0.008233442508621602
TN,May,0.011135372281373786
TN,Jun,0.013787345495321662
TN,Jul,0.014865200887485917
TN,Aug,0.01369005467525806
TN,Sep,0.011029013454562914
TN,Oct,0.007826580385006929
TN,Nov,0.005761238310324118
TN,Dec,0.004713763227078873
AR,Jan,0.0044088896207420784
AR,Feb,0.005133505676731016
AR,Mar,0.006829732872890127
AR,Apr,0.008914900058515769
AR,May,0.012022928723284476
AR,Jun,0.014649278901256252
AR,Jul,0.015298726541090012
AR,Aug,0.014328845182354038
AR,Sep,0.011628263276171079
AR,Oct,0.008466207117095144
AR,Nov,0.00632848595000155
AR,Dec,0.0049676439581258875
NC,Jan,0.004472432370845852
NC,Feb,0.0049716541378870245
NC,Mar,0.006264235339979762
NC,Apr,0.008145651140360134
NC,May,0.010748581991428792
NC,Jun,0.013464310342793483
NC,Jul,0.0149874397666109
NC,Aug,0.014490001797868616
NC,Sep,0.012164400333878755
NC,Oct,0.008726483566245235
NC,Nov,0.006395938979899088
NC,Dec,0.005102931126430335
IA,Jan,0.0020864616073665776
IA,Feb,0.0024432744420771813
IA,Mar,0.0037091266043147667
IA,Apr,0.0054583384038474556
IA,May,0.008422077245562454
IA,Jun,0.011823963750538093
IA,Jul,0.013252366871366163
IA,Aug,0.012137368358403957
IA,Sep,0.009139543307217328
IA,Oct,0.0058704909702797636
IA,Nov,0.0037892721025687835
IA,Dec,0.0025044372327909033
NV,Jan,0.002798218100500049
NV,Feb,0.0028770639213601765
NV,Mar,0.003201917011409769
NV,Apr,0.003529868219030582
NV,May,0.004294006235045456
NV,Jun,0.004674260966411673
NV,Jul,0.005666972779164961
NV,Aug,0.005376652783234489
NV,Sep,0.004435855890286372
NV,Oct,0.0035378624878301744
NV,Nov,0.003003184879140699
NV,Dec,0.002710288975558145
MP,Jan,0.017178981420315036
MP,Feb,0.016779501687106773
MP,Mar,0.016977065742373555
MP,Apr,0.01792260477203847
MP,May,0.01878500506505426
MP,Jun,0.0193625067931044
MP,Jul,0.019649663404893446
MP,Aug,0.019777677672379285
MP,Sep,0.019712127065069453
MP,Oct,0.019668185497254735
MP,Nov,0.01922894460834967
MP,Dec,0.018288599546587923
WI,Jan,0.0017587829220906195
WI,Feb,0.002030368812020074
WI,Mar,0.0031172260892341416
WI,Apr,0.004619528003319534
WI,May,0.007269746885884804
WI,Jun,0.010294202976734735
WI,Jul,0.011887797014365702
WI,Aug,0.011212053130267316
WI,Sep,0.00860853855798359
WI,Oct,0.00552952589523044
WI,Nov,0.0034872678819298886
WI,Dec,0.0022062454853172164
ME,Jan,0.0018127805117375455
ME,Feb,0.0019968809688651165
ME,Mar,0.0027743139687507875
ME,Apr,0.004272577185265274
ME,May,0.006555042114872717
ME,Jun,0.009241270659974675
ME,Jul,0.011276765146654329
ME,Aug,0.010781942934850791
ME,Sep,0.008283272980434568
ME,Oct,0.005602054323957133
ME,Nov,0.003752448742593092
ME,Dec,0.002397532984471531
FL,Jan,0.008555901473855296
FL,Feb,0.009256640539720203
FL,Mar,0.010112505594074239
FL,Apr,0.011328139572699606
FL,May,0.013350309668809632
FL,Jun,0.016516511084664443
FL,Jul,0.017786449339761257
FL,Aug,0.018140630793526253
FL,Sep,0.01700662078527143
FL,Oct,0.013845905517054695
FL,Nov,0.011073872853240015
FL,Dec,0.009563714306129059
CA,Jan,0.004288944813562117
CA,Feb,0.0045419567773079235
CA,Mar,0.004967204349524842
CA,Apr,0.005262399571220493
CA,May,0.005895146723136514
CA,Jun,0.006016157886834925
CA,Jul,0.006480985356781
CA,Aug,0.006287304916713279
CA,Sep,0.005754969358360378
CA,Oct,0.0049393444084191935
CA,Nov,0.004439922704282412
CA,Dec,0.004099724081734758
CT,Jan,0.0027217621117950636
CT,Feb,0.0028853456913592534
CT,Mar,0.003682273535550391
CT,Apr,0.005252236778789636
CT,May,0.007735207846087385
CT,Jun,0.010575541949730259
CT,Jul,0.012352791746880741
CT,Aug,0.011733607920001886
CT,Sep,0.009415476333286555
CT,Oct,0.00665351614500404
CT,Nov,0.004750167057298096
CT,Dec,0.00338891287072211
NJ,Jan,0.0031084753054554434
NJ,Feb,0.0032971098653901106
NJ,Mar,0.004241497021644869
NJ,Apr,0.006022054071995573
NJ,May,0.008752917852942665
NJ,Jun,0.011774804199140102
NJ,Jul,0.013474010080065225
NJ,Aug,0.012791986926432337
NJ,Sep,0.01037003111535411
NJ,Oct,0.007326355180338965
NJ,Nov,0.005204795774307675
NJ,Dec,0.003813127891382583
SD,Jan,0.0021347812760228765
SD,Feb,0.002261642270412935
SD,Mar,0.0030589873228775355
SD,Apr,0.0041687197160733165
SD,May,0.006489414962285948
SD,Jun,0.009274279571973935
SD,Jul,0.0106740319272874
SD,Aug,0.010026742673266264
SD,Sep,0.007188198145336605
SD,Oct,0.004750870604127695
SD,Nov,0.003144674536655729
SD,Dec,0.002274906155309648
