Region,Month,Dataset,Slope,Slope_SE,Slope_p
AL,Mar,merra2,2.10698097902504,1.2823337519870914,0.387997298772659
AL,May,era5,1.2019617573919064,0.5819962649393867,0.7285796322112177
AL,May,merra2,1.0081041636332453,1.0042870935142236,0.9935614856487058
AL,Nov,era5,0.8458252083189474,1.0071526184268127,0.878335290351008
AL,Nov,merra2,2.2891929700451845,1.3661853534439026,0.34535146554031204
AL,Oct,era5,2.178552526131508,0.6986455716051148,0.09162056949101771
AL,Oct,merra2,2.397706000439111,1.0523200721590966,0.1841074997524066
AL,Sep,era5,2.244865101325255,0.741310814884313,0.0930983603901645
AL,Sep,merra2,2.5166153097082233,1.101758584548291,0.1686543584431326
AR,Apr,era5,0.7072432237700008,0.9250680543524227,0.7516453912292269
AR,Apr,merra2,1.1067535769712507,1.1389454507340344,0.925323485265886
AR,Aug,era5,0.06757574748341422,0.986392158733009,0.34451207960503405
AR,Aug,merra2,-0.795052380905254,1.4304146037341265,0.20950869462768917
AR,Dec,era5,3.0506606557898848,1.4298138163417744,0.15151087127216845
AR,Dec,merra2,4.000231867534627,1.7532602878847268,0.08703863476542417
AR,Feb,era5,0.25683157130389767,1.4700508404308337,0.6131801238870085
AR,Feb,merra2,0.8478462354125675,1.8067034077734494,0.9328845078174006
AR,Jan,era5,2.4581755170719517,1.1681247988945602,0.2119195436740029
AR,Jan,merra2,3.525513730594551,1.4819762548128914,0.08835257652395812
AR,Jul,era5,0.37974568272731385,0.8436984043983384,0.4622413360899622
AR,Jul,merra2,-0.3461544491710003,1.3418411353752155,0.3157573907714277
AR,Jun,era5,1.7505536087938451,0.7870556105414271,0.3402749747568907
AR,Jun,merra2,1.2076969055233755,1.160320013524974,0.8579379567450784
AR,Mar,era5,1.3384675814976092,1.163427978445233,0.7711104576596735
AR,Mar,merra2,1.068969794082814,1.2926931767078742,0.9574501993740165
AR,May,era5,0.7348247128214753,0.7779429881068778,0.7332035204214393
AR,May,merra2,0.5957076719153133,1.0593277947345274,0.7027210791820655
AR,Nov,era5,1.8422573029024198,1.114008916200038,0.4496133726888445
AR,Nov,merra2,3.242314594981547,1.4794857664130507,0.12961950656252474
AR,Oct,era5,1.4856134837560904,0.7894748354431683,0.5384823982218723
AR,Oct,merra2,1.5382180107544234,1.1915168377415837,0.6514791589156614
AR,Sep,era5,2.6391442653968338,0.7837217431976204,0.0364843816800533
AR,Sep,merra2,2.1873287624251985,1.2147790613440959,0.3283696525020301
AZ,Apr,era5,1.4253949593676358,1.0945612596474579,0.6975393151167057
AZ,Apr,merra2,0.9766237812893512,1.3530357001229734,0.9862157397943685
AZ,Aug,era5,2.082047953516544,0.6656426613037363,0.10404141326695404
AZ,Aug,merra2,2.148837371269154,0.8941604548022187,0.19885435687830366
AZ,Dec,era5,1.2666249990258602,0.9847884947176709,0.7865883839161114
AZ,Dec,merra2,2.0243841470445876,1.1854159482856172,0.38750227224974454
AZ,Feb,era5,1.4105208517559822,1.1761109656131217,0.7270522073025301
AZ,Feb,merra2,1.2306063295063627,1.4023231222437,0.8693801090505211
AZ,Jan,era5,1.2198496174391875,1.102993654808952,0.8420117813552448
AZ,Jan,merra2,2.031044247851807,1.3101900113361369,0.43131550684206976
AZ,Jul,era5,2.000100881016766,0.6018391224560262,0.0965646713266668
AZ,Jul,merra2,2.484159323955207,0.7448028715117623,0.046295684071275156
AZ,Jun,era5,2.6519880752436142,0.8021800040426909,0.03945849231235665
AZ,Jun,merra2,2.5643982413138664,1.035298592516164,0.13077317699699842
AZ,Mar,era5,2.2268078081053613,1.1831605684087747,0.2997869490623739
AZ,Mar,merra2,2.1003608097383926,1.3804141518808268,0.4253792044464233
AZ,May,era5,0.5247854401371267,1.114265664354619,0.6697564581887365
AZ,May,merra2,0.5458525890984199,1.4487412037149139,0.75391810092606
AZ,Nov,era5,3.6193158312289824,1.103407231379261,0.01760402109158976
AZ,Nov,merra2,5.066485552035137,1.4239104113860959,0.004292074148582792
AZ,Oct,era5,2.4698344362213303,0.9958333254916685,0.13994808478481757
AZ,Oct,merra2,3.242550186000307,1.2058277622021334,0.06291949515516282
AZ,Sep,era5,2.3076941635403165,0.662298809561236,0.04832746209932326
AZ,Sep,merra2,2.694747534643084,0.8097110356253502,0.036346692045553075
CA,Apr,era5,0.8538131237472628,1.1335606006820638,0.8973872746801153
CA,Apr,merra2,0.5207578699294242,1.5470027165755758,0.7567225450920385
CA,Aug,era5,2.1724500794276413,0.5022791494703747,0.019582116867499888
CA,Aug,merra2,2.222125450597927,0.6666967520911655,0.06678689060869347
CA,Dec,era5,1.0657024689339034,0.7601957033201449,0.9311259021911318
CA,Dec,merra2,0.49944091142915387,1.1874448392065753,0.6733586010482047
CA,Feb,era5,1.9896595726335788,1.118959860731626,0.3764555007062591
CA,Feb,merra2,1.7244410467429876,1.489341230083889,0.6266714667116915
CA,Jan,era5,2.0819085350944997,0.935418408569054,0.2474342475486706
CA,Jan,merra2,1.2711586285595873,1.3208489492854742,0.8373446410644763
CA,Jul,era5,2.5017944385770505,0.6373367944932784,0.01845506094924998
CA,Jul,merra2,2.9538526806283443,0.8570433883413305,0.022621964957918905
CA,Jun,era5,2.207530956752492,0.9381420564023697,0.19804148747214967
CA,Jun,merra2,2.3415919459424637,1.4271830976809663,0.34720324411910064
CA,Mar,era5,1.4872358990615029,1.199921524925608,0.6847011086799284
CA,Mar,merra2,1.9394735022932683,1.5801943405000596,0.5521574458177654
CA,May,era5,-0.09773421858934904,1.1384592517492131,0.33493165961795013
CA,May,merra2,-0.09372535736750642,1.6118654670000605,0.4974253745022006
CA,Nov,era5,2.761779619967621,1.0004966520060516,0.07825447286690856
CA,Nov,merra2,3.6067105082773327,1.3725824072504262,0.057547569309247315
CA,Oct,era5,1.9494251996339185,1.050116052299087,0.3659346651823996
CA,Oct,merra2,2.552143460301604,1.3279164510538999,0.2424615476641554
CA,Sep,era5,2.843370124492238,0.7477373613642168,0.013691226945267143
CA,Sep,merra2,3.0545342567181257,1.0354816966380047,0.047240923535329715
CO,Apr,era5,1.7444553925604733,1.12485676865021,0.5080850564540977
CO,Apr,merra2,1.491843296606613,1.446248612245462,0.7337946850224493
CO,Aug,era5,2.1764007341394267,0.6621027412136306,0.07560697307997799
CO,Aug,merra2,1.984365877049942,0.8470404279948632,0.2451851638604281
CO,Dec,era5,2.2208659024493715,1.0422764898936603,0.2414599192134097
CO,Dec,merra2,1.842080002550364,1.2157852688653166,0.48854660509081294
CO,Feb,era5,1.2383322897247158,1.162649866765941,0.8375794719190659
CO,Feb,merra2,0.13405652768911613,1.2667312101272417,0.49422478437908013
CO,Jan,era5,2.331528808651079,1.0768346364438204,0.21626490706472556
CO,Jan,merra2,1.956283666444145,1.2055971569405768,0.4276593740235355
CO,Jul,era5,2.4265187408932753,0.596581359642416,0.01679544219312179
CO,Jul,merra2,2.880238509424608,0.8022026400424631,0.019086110119290955
CO,Jun,era5,3.6464746488315782,1.0262454905771496,0.009914618942372888
CO,Jun,merra2,3.1017132442401847,1.33426434533515,0.11521373788307043
CO,Mar,era5,2.601293699284048,1.0636951367765952,0.13221956845991878
CO,Mar,merra2,1.466427887532905,1.348844145532945,0.729494372464834
CO,May,era5,0.7330377692780339,1.073294385766211,0.8035684029540888
CO,May,merra2,0.5379776537161872,1.3888943417379913,0.739394885048126
CO,Nov,era5,4.3798061414236305,1.2433776740650004,0.006562906306095684
CO,Nov,merra2,5.09844056170454,1.5348258067133203,0.007578420808576292
CO,Oct,era5,2.110842962008919,1.001861180628937,0.26752539234247963
CO,Oct,merra2,2.5778185630480377,1.2148535244817786,0.19402195436267533
CO,Sep,era5,4.161236571873508,0.74779944472807,2.3642235533305467e-05
CO,Sep,merra2,4.11918038816483,0.9146068623536768,0.0006486632893107913
CT,Apr,era5,0.6153589070397013,0.8026028150335831,0.631766376722736
CT,Apr,merra2,1.2935468004496988,0.9842333752231579,0.76551298595365
CT,Aug,era5,2.139075109723696,0.5872197877873295,0.05240686503930392
CT,Aug,merra2,4.276151066907919,1.0116737348481764,0.0012022429329030526
CT,Dec,era5,2.045371779529382,1.3677013067641606,0.4446720756696747
CT,Dec,merra2,2.258865885680953,1.7431695041378665,0.4701895545319561
CT,Feb,era5,1.1923052081173713,1.3077408094343836,0.8830913948514603
CT,Feb,merra2,2.4389172433484823,1.7251000473414708,0.4042209462844055
CT,Jan,era5,2.3564207466973857,1.3270475784551765,0.30671737706684166
CT,Jan,merra2,2.774611189467962,1.624488900115221,0.2746520451451513
CT,Jul,era5,1.1493925032010817,0.7887094585827192,0.8497684621537023
CT,Jul,merra2,3.2374121289644893,1.2403369094652619,0.07125098251451778
CT,Jun,era5,0.4169907634565666,0.7388493265929262,0.4300668246673569
CT,Jun,merra2,2.166976744443741,0.8039716577606789,0.1466365695009446
CT,Mar,era5,1.2151042908630245,1.1298604995367711,0.8490103638981046
CT,Mar,merra2,2.236302821171352,1.4800133579070927,0.4035306896788713
CT,May,era5,0.24786218371440547,0.9701526686280033,0.4381755307583184
CT,May,merra2,0.37506705280860586,1.0774956049660775,0.5619236950909685
CT,Nov,era5,1.225805116102017,1.0041507592625136,0.8220790640610913
CT,Nov,merra2,1.7650510717632413,1.2640276860563788,0.5450137838395535
CT,Oct,era5,1.3843719319162504,0.8001664907727036,0.6309679164967772
CT,Oct,merra2,2.0572530806492915,1.0500609075274578,0.3140072033015868
CT,Sep,era5,2.232107125850037,0.5926850334480881,0.03763054326086057
CT,Sep,merra2,3.881623187348014,0.9243592244299733,0.0018243659743168994
DE,Apr,era5,1.6231785580981164,0.7703958978432421,0.4185686992618509
DE,Apr,merra2,2.5224625402417664,0.9499116098009586,0.1089917878477924
DE,Aug,era5,1.493040093921539,0.5652146302643533,0.3830414839523808
DE,Aug,merra2,2.9324273937582053,1.170245695807554,0.09867721435818422
DE,Dec,era5,2.0235730414136386,1.4750964362457015,0.48774338265136485
DE,Dec,merra2,2.0765531239951964,1.9341350330730833,0.5777959610185914
DE,Feb,era5,1.5108074439282726,1.4244592164758783,0.7198962540294074
DE,Feb,merra2,2.7555741686144297,1.8438145668265962,0.34102472924911575
DE,Jan,era5,2.330586464170409,1.31120485171287,0.3102099804648999
DE,Jan,merra2,3.2134683515324634,1.6238204548784985,0.17284348887638679
DE,Jul,era5,1.0925536170348003,0.6354775478461769,0.8842022759724122
DE,Jul,merra2,1.7721993598451398,1.2187557073620667,0.5263441805797102
DE,Jun,era5,0.7743750742946234,0.6095972491229187,0.7112921129584058
DE,Jun,merra2,1.4648891908013422,0.9113625934880316,0.6099789978012038
DE,Mar,era5,2.068557896215467,1.1531677467714618,0.35411954380578137
DE,Mar,merra2,2.6804987988159574,1.4138449431040767,0.23459635620252484
DE,May,era5,0.47556537542898825,0.8932125265416618,0.5571143301229049
DE,May,merra2,0.8246053963696781,1.0920352709636079,0.8723985451880352
DE,Nov,era5,0.7988052449566243,1.0541508870211627,0.8486356385699168
DE,Nov,merra2,1.517987337910264,1.281959122090391,0.6861692091666531
DE,Oct,era5,1.5366954503217725,0.771846077622707,0.48684225330799236
DE,Oct,merra2,2.113537185144472,1.0777775896919246,0.30152013293788604
DE,Sep,era5,1.7194625887089348,0.5469041485875236,0.18833566500963128
DE,Sep,merra2,2.7193077798906335,1.0193432225775534,0.09166453116705009
FL,Apr,era5,1.7794087818849673,0.5732139574871431,0.17391948572792493
FL,Apr,merra2,2.9893295062883896,1.0400510509206298,0.05578353052464924
FL,Aug,era5,0.7690966074932999,0.36098432920409346,0.5224005893790444
FL,Aug,merra2,1.4795043707831492,0.545533558075945,0.3794207831444929
FL,Dec,era5,2.1694140707769947,1.0145547769662318,0.24905912800047414
FL,Dec,merra2,2.613403597543381,1.3101783848627688,0.21815904979227851
FL,Feb,era5,1.435629571537548,0.9664071860066844,0.6521536811897173
FL,Feb,merra2,1.8718817419595248,1.3371797665391585,0.5143816174275209
FL,Jan,era5,0.78032485863299,0.9926272071665929,0.8248535630215019
FL,Jan,merra2,1.0074967567401494,1.2009754745860308,0.9950194589811734
FL,Jul,era5,0.34731894333152685,0.36629938280385715,0.07477792597295863
FL,Jul,merra2,1.521020667053183,0.569358465477498,0.36013845707352843
FL,Jun,era5,0.6068429187746778,0.5444944102854693,0.47025821341762497
FL,Jun,merra2,0.6921668620103517,0.8747237230638413,0.7248979463811696
FL,Mar,era5,1.7650565890952161,0.9012689359158154,0.3959558396919389
FL,Mar,merra2,2.7786645096906737,1.2797809589375322,0.1645837005544588
FL,May,era5,0.9676479710053851,0.43006171115441794,0.9400345155281744
FL,May,merra2,1.5479277502599202,0.7946736724578907,0.4905084728788691
FL,Nov,era5,0.5765072007481861,0.6893162440077863,0.5389731762965462
FL,Nov,merra2,1.3325453908712968,0.854888886578116,0.6972816722663417
FL,Oct,era5,1.7494996993990446,0.44291150460947193,0.09060575884877542
FL,Oct,merra2,2.24356266722957,0.625095532954813,0.04665749063699187
FL,Sep,era5,1.0207106346399208,0.40701634511854756,0.9594179259035656
FL,Sep,merra2,1.4571358378337926,0.5138655581805648,0.3736796219571574
GA,Apr,era5,1.5324924836110954,0.7789101007786126,0.4942038314610935
GA,Apr,merra2,2.449650996486006,1.1623677798895935,0.21234123456528886
GA,Aug,era5,0.969220418708704,0.6641503465747011,0.9630358328651525
GA,Aug,merra2,1.8735015174929404,1.0760087848971778,0.4169076896537862
GA,Dec,era5,2.539489671525723,1.3261365662119926,0.24568939844318338
GA,Dec,merra2,3.3497870537029137,1.7743548897508312,0.18540177036564653
GA,Feb,era5,1.4362323730108988,1.126961844799361,0.6986917400474133
GA,Feb,merra2,2.161794066120392,1.4237467642563892,0.4144934244912677
GA,Jan,era5,2.0974885678067143,1.1572776928331736,0.34295822285625377
GA,Jan,merra2,3.1670737069353803,1.4471502725258731,0.1342692831964234
GA,Jul,era5,0.5525779725246892,0.7069486507746386,0.5268042813961367
GA,Jul,merra2,1.2277865542854212,1.1860682173833355,0.847701618002016
GA,Jun,era5,0.8492490306579211,0.7739697753811908,0.8455680766081388
GA,Jun,merra2,0.5447145995436166,1.22681555938954,0.7105544628654605
GA,Mar,era5,1.8348509750515094,1.072179769510084,0.43618690760100387
GA,Mar,merra2,2.4461692111144417,1.2620929964363308,0.25185723864370324
GA,May,era5,1.1167791246475647,0.5584678610234387,0.8343652894969156
GA,May,merra2,1.455810955720052,1.1348966446899618,0.6879547808049133
GA,Nov,era5,0.6636397486644244,0.9583376575526821,0.7256010823516461
GA,Nov,merra2,1.8761300881158627,1.2925199177750015,0.4978690314116543
GA,Oct,era5,2.397785516850679,0.665677468459338,0.035746971225777635
GA,Oct,merra2,2.712005219363069,0.9407697525977302,0.06879069462800635
GA,Sep,era5,2.104735410375577,0.7189293265417964,0.12438154265426604
GA,Sep,merra2,2.1183040886949582,1.1069118503597122,0.31235545542082543
HI,Apr,era5,1.374428710290459,0.32883878511895326,0.2548536979556826
HI,Apr,merra2,0.9080926375450036,0.47322374616168666,0.846007186437894
HI,Aug,era5,0.9695611897471554,0.25405235625161665,0.9046311735688768
HI,Aug,merra2,0.5814220193015915,0.4418254579867796,0.3434435896284582
HI,Dec,era5,1.008463971336952,0.29349097071282104,0.9769930364331056
HI,Dec,merra2,0.64783280914749,0.4313253215585971,0.41422739111260176
HI,Feb,era5,0.7639337303260493,0.35433887534585673,0.5052729726340066
HI,Feb,merra2,0.10946741687259097,0.4639075231781607,0.05490416566279599
HI,Jan,era5,1.3598602308181393,0.2593132810248064,0.1652152698991305
HI,Jan,merra2,0.8025567894390034,0.3857229328314611,0.6087361654267691
HI,Jul,era5,1.2565525945325227,0.2251857694993384,0.2545809232718148
HI,Jul,merra2,0.636423714850767,0.40328816002699047,0.36730670876215754
HI,Jun,era5,0.9736925554265993,0.275146251743518,0.9238282690598312
HI,Jun,merra2,0.3805979553894694,0.4099088171861548,0.13076991598419307
HI,Mar,era5,0.4288923596760075,0.38829377746414256,0.1413416228835347
HI,Mar,merra2,0.5500952886704458,0.5290975744556268,0.39514461397258716
HI,May,era5,1.323379276891267,0.3586002025986632,0.36717258120133645
HI,May,merra2,0.7962009163056155,0.4862545750005932,0.6751283352102468
HI,Nov,era5,0.9624898820921792,0.26160328914538344,0.8859857355022174
HI,Nov,merra2,0.6713886027681164,0.36203499474026285,0.36404808264945876
HI,Oct,era5,1.0088954703302597,0.24750554813571457,0.9713298114774491
HI,Oct,merra2,0.5712914630200434,0.4482933414391944,0.3389143642393728
HI,Sep,era5,1.1152032901885585,0.25226190884896965,0.6479001516350884
HI,Sep,merra2,0.5601550622374647,0.4467295676312766,0.3248260835898409
IA,Apr,era5,0.7215714570851576,1.277715834393342,0.827498329659949
IA,Apr,merra2,1.2640018469062448,1.5709100420589452,0.8665387286477737
IA,Aug,era5,0.9593419877069315,0.9038262751217474,0.9641198054460736
IA,Aug,merra2,1.7576376412093626,1.4167401297649935,0.5928052383627804
IA,Dec,era5,3.7462604567546602,1.8120401883370443,0.1296299736158011
IA,Dec,merra2,4.987497325933989,2.112966663126151,0.05913937124907109
IA,Feb,era5,-0.4155512066867539,2.1224200971310148,0.5048031317687081
IA,Feb,merra2,0.2129447541914755,2.3728161432949824,0.7401183050560431
IA,Jan,era5,1.4179313732750243,1.7218545919238593,0.8082210410810098
IA,Jan,merra2,3.0875483760457345,1.9335328401275993,0.2802958448887687
IA,Jul,era5,0.9202796858858308,0.9374465461189273,0.9322297093384597
IA,Jul,merra2,2.0717497972206464,1.7308267889474978,0.5357762967083208
IA,Jun,era5,2.3863570656991233,0.8040112832481412,0.08465360729695326
IA,Jun,merra2,3.0513095163993906,1.22151511682339,0.09309053232363129
IA,Mar,era5,1.8280207465397396,1.686216473962172,0.6233893446972449
IA,Mar,merra2,1.2263713729579286,1.8498882961849965,0.9026057643611642
IA,May,era5,-0.03164400268061526,1.0619839272302931,0.33133374720580844
IA,May,merra2,0.03505275737148625,1.2684145621577307,0.4468059969014737
IA,Nov,era5,3.842727455747013,1.651360373694377,0.08516995102512959
IA,Nov,merra2,5.5464431151747196,2.044563963891882,0.026170405935349805
IA,Oct,era5,0.49273335958970704,0.9973623615637551,0.611026904736746
IA,Oct,merra2,0.8870695941593237,1.3084851617597488,0.9312229955394424
IA,Sep,era5,3.390844121863889,0.7831268103918017,0.002266064628269726
IA,Sep,merra2,4.616404719750484,1.162436271052559,0.0018641937421011168
ID,Apr,era5,0.2580266341580438,1.1495995084842883,0.5186556935350408
ID,Apr,merra2,0.8304029532409503,1.714226333659842,0.9211898493908182
ID,Aug,era5,2.594441991099338,0.8923343186989765,0.07396637128754335
ID,Aug,merra2,2.632610447509831,1.0338103825432716,0.11428639914935212
ID,Dec,era5,1.3145981289122879,1.0865305329669177,0.7721653024766819
ID,Dec,merra2,1.4716911248091697,1.21325303120423,0.6974373045877464
ID,Feb,era5,1.1673681014394384,1.293415711111265,0.8970410813555678
ID,Feb,merra2,1.0346578966105524,1.4162390935570006,0.9804762904050406
ID,Jan,era5,2.051736876218697,1.1319268075859306,0.35280811295692915
ID,Jan,merra2,2.393362916207355,1.247042039794293,0.26385139048110395
ID,Jul,era5,4.397927408722099,1.2158853212829117,0.005196207784536444
ID,Jul,merra2,4.94929188428612,1.4479355751734904,0.00638098985643798
ID,Jun,era5,1.6453710361310994,1.2383327575236538,0.6022544523148421
ID,Jun,merra2,1.3125264876723797,1.5354236034046884,0.83870974346656
ID,Mar,era5,1.2838660322455595,1.0535433304062694,0.7875916069342217
ID,Mar,merra2,1.3601138246908449,1.463320105032657,0.8056097179282906
ID,May,era5,0.11446792016856511,1.0787768464713847,0.41172215330119144
ID,May,merra2,-0.04691682879457316,1.3430413332114859,0.4356781745865448
ID,Nov,era5,2.7449219555076705,1.200588811659223,0.1461159214604193
ID,Nov,merra2,4.272505240865509,1.4855628054888206,0.027603746361270387
ID,Oct,era5,0.2967221905428043,1.2365256108077747,0.5695236874372998
ID,Oct,merra2,1.1502872545010652,1.5557531554637687,0.9230432909477566
ID,Sep,era5,3.5376851343753977,1.1339729533177376,0.025229471703578144
ID,Sep,merra2,4.108426707801622,1.3334141888680715,0.019743940684177286
IL,Apr,era5,1.0832933872315105,1.1195276759381552,0.940691733439911
IL,Apr,merra2,1.9861999705232294,1.2988110951113472,0.4476672668242254
IL,Aug,era5,0.7105501766925121,0.8584964000284812,0.735997011608446
IL,Aug,merra2,0.5873762772649922,1.361653870667981,0.7618660195245421
IL,Dec,era5,3.293142660812922,1.7020454251977308,0.1778880091264754
IL,Dec,merra2,4.652275394936605,2.09103155464355,0.08070013280645716
IL,Feb,era5,0.6035171727183404,1.8241612879172386,0.8279350081102594
IL,Feb,merra2,1.6408231556882507,2.174716904528163,0.7682462196161282
IL,Jan,era5,2.1127833356266588,1.4522513125560512,0.44352929663467267
IL,Jan,merra2,3.8469053461379628,1.756470639112979,0.10505837248664984
IL,Jul,era5,0.29612985083340737,0.8988140147002546,0.4335625806784855
IL,Jul,merra2,0.9813906442010673,1.5625889613358976,0.990497970314359
IL,Jun,era5,1.9302981320379606,0.7209998724072743,0.1969503695225585
IL,Jun,merra2,2.4573491730872954,0.9140464500677283,0.1108480609774074
IL,Mar,era5,1.9442327098954961,1.5179625163480905,0.5339158668298594
IL,Mar,merra2,1.8004441079778752,1.69539386868563,0.6368349261499755
IL,May,era5,0.5652054208090864,1.0912773480047333,0.6903153106505231
IL,May,merra2,0.7405732538303836,1.1612513297618756,0.823222060428008
IL,Nov,era5,1.9775063732677491,1.4219892763111386,0.49181698815037755
IL,Nov,merra2,3.3504048024424904,1.7515673723918104,0.17963276415374008
IL,Oct,era5,0.8169615113566709,0.8983820199561924,0.8385548242638181
IL,Oct,merra2,1.0497920290073421,1.1389419895815736,0.9651293568054362
IL,Sep,era5,3.0262638645072646,0.7800170486744545,0.009384569162641299
IL,Sep,merra2,3.438793564280697,1.0959873123714936,0.026067655872949125
IN,Apr,era5,1.1709588395053891,1.0185909493063428,0.8667102852379895
IN,Apr,merra2,2.2887198921279244,1.1725335157670815,0.27172880004578603
IN,Aug,era5,0.9324161667285515,0.8035012632532842,0.9329676460373584
IN,Aug,merra2,1.175458079779636,1.1815903158693937,0.8819535836762586
IN,Dec,era5,2.796498633641346,1.7196650024941316,0.2961711605715873
IN,Dec,merra2,3.659737027407652,2.076189156892487,0.20017019921121348
IN,Feb,era5,0.7712152317625013,1.73460048451098,0.8950675088758226
IN,Feb,merra2,1.7559445763051882,2.0712602664325543,0.7151349836100058
IN,Jan,era5,2.4322802699738126,1.4926487444003487,0.33727865142466995
IN,Jan,merra2,4.065512048640154,1.7077884592901258,0.07265073658595411
IN,Jul,era5,0.19653156532860827,0.8922845184645993,0.36787435998419626
IN,Jul,merra2,1.421275100636952,1.3079256392952834,0.7473814257972349
IN,Jun,era5,1.535246551007357,0.788264632709675,0.4971259130473591
IN,Jun,merra2,2.2635768511765977,0.8513961644560477,0.13777622352195595
IN,Mar,era5,2.0353593043744342,1.5523156001010752,0.5047866181578944
IN,Mar,merra2,2.131029761527632,1.738645154497064,0.5153540415354831
IN,May,era5,0.7015880084212099,1.1629288128582556,0.797484615297068
IN,May,merra2,1.2401120282209634,1.2496697057988824,0.8476322354007455
IN,Nov,era5,1.1976135872494016,1.3725662472758913,0.8855211535247669
IN,Nov,merra2,2.332235773548134,1.712807859793924,0.43668217048109437
IN,Oct,era5,1.155546565698913,0.8894924450042097,0.8611808808541985
IN,Oct,merra2,1.4426420043733854,1.1351409867698408,0.6965775742089528
IN,Sep,era5,2.6722646869199203,0.8375802921480207,0.045874899775561806
IN,Sep,merra2,3.4094542716234417,1.0691531354646966,0.02422070932248066
KS,Apr,era5,1.2690736759450418,1.2149691701084484,0.8247300471589329
KS,Apr,merra2,1.091978262636258,1.5536267465837732,0.9527909849528742
KS,Aug,era5,0.43659066905570304,1.0417036595162026,0.5886083912623397
KS,Aug,merra2,0.39255181861230953,1.524142269740704,0.6902241907751776
KS,Dec,era5,3.3476043958293507,1.5075100835062278,0.11940573876090843
KS,Dec,merra2,3.8081597586514278,1.704532260382207,0.09946220109332482
KS,Feb,era5,0.7442024104049678,1.8896023384606218,0.8923184548645748
KS,Feb,merra2,-0.2338539214684984,1.9744269031334865,0.5320252069741076
KS,Jan,era5,2.5840600066711654,1.3637177071366742,0.24540825784356923
KS,Jan,merra2,1.9607152887394899,1.5289015078475958,0.5297618213742519
KS,Jul,era5,0.7965591602295382,0.9328502296175649,0.8273627194897979
KS,Jul,merra2,1.2121613946974112,1.4812900206274138,0.8861105501056912
KS,Jun,era5,3.715072038966291,0.9637203049052964,0.004843195406739831
KS,Jun,merra2,3.3634214504453714,1.4480627504343695,0.10265286037914767
KS,Mar,era5,2.6405825367150935,1.470068781376368,0.26442627610768143
KS,Mar,merra2,1.4456359305818625,1.5992306005881312,0.7805084827875965
KS,May,era5,0.4248343795356118,1.020612240766979,0.5730606949891455
